   locus      deme_1      deme_2      deme_3
     100    0.513250    0.566000    0.371000
     101    0.502000    0.512500    0.558250
     102    0.473500    0.556500    0.612750
     103    0.464000    0.480000    0.625750
     104    0.325000    0.711500    0.616750
     105    0.564000    0.452000    0.492750
     106    0.471250    0.583250    0.572250
     107    0.547500    0.524750    0.511750
     108    0.484500    0.688750    0.367250
     109    0.226750    0.042250    0.975000
     110    0.562500    0.447750    0.460250
     111    0.477250    0.616500    0.505750
     112    0.499000    0.571750    0.505750
     113    0.373500    0.563500    0.658750
     114    0.531750    0.451500    0.569500
     115    0.513750    0.516750    0.563250
     116    0.571750    0.003500    0.629750
     117    0.412750    0.603000    0.557750
     118    0.567750    0.294250    0.480000
     119    0.521750    0.550000    0.466750
     120    0.588000    0.358500    0.266750
     121    0.428000    0.657000    0.532000
     122    0.531250    0.337500    0.589500
     123    0.547500    0.467750    0.490250
     124    0.407500    0.472250    0.617500
     125    0.226000    0.232250    0.946500
     126    0.484750    0.392250    0.394000
     127    0.595000    0.679500    0.041000
     128    0.533750    0.472750    0.340750
     129    0.562500    0.385750    0.542000
     130    0.468750    0.220500    0.766500
     131    0.546500    0.345500    0.618500
     132    0.547250    0.301750    0.654000
     133    0.593250    0.525000    0.372500
     134    0.492250    0.478000    0.609500
     135    0.520250    0.544000    0.411250
     136    0.423000    0.609250    0.624750
     137    0.515750    0.458500    0.567000
     138    0.499000    0.591250    0.528250
     139    0.466500    0.572750    0.566500
     140    0.440750    0.392250    0.465500
     141    0.500750    0.524500    0.567750
     142    0.507000    0.295250    0.655000
     143    0.501500    0.505750    0.570500
     144    0.544000    0.447000    0.553750
     145    0.520000    0.513000    0.540500
     146    0.508750    0.140250    0.717000
     147    0.467250    0.611250    0.441250
     148    0.527250    0.558750    0.442500
     149    0.611250    0.344750    0.452000
     150    0.492250    0.528000    0.579500
     151    0.497250    0.419000    0.622250
     152    0.568500    0.316500    0.409250
     153    0.465250    0.573000    0.565000
     154    0.439000    0.577500    0.551500
     155    0.560500    0.399500    0.510500
     156    0.402750    0.516250    0.703250
     157    0.388250    0.501250    0.591500
     158    0.505000    0.422000    0.588750
     159    0.490000    0.638000    0.469500
     160    0.536750    0.407500    0.594750
     161    0.339000    0.621250    0.584750
     162    0.474500    0.621500    0.523500
     163    0.476250    0.574250    0.577750
     164    0.503500    0.562000    0.509000
     165    0.570250    0.106500    0.605000
     166    0.511250    0.584750    0.457500
     167    0.504750    0.576500    0.524250
     168    0.514250    0.497500    0.444750
     169    0.444000    0.495250    0.548500
     170    0.467250    0.560250    0.516250
     171    0.515500    0.557250    0.508250
     172    0.528750    0.385250    0.593250
     173    0.505500    0.518250    0.577750
     174    0.539500    0.436250    0.561000
     175    0.457500    0.560250    0.555500
     176    0.536250    0.439000    0.564250
     177    0.530500    0.516250    0.513250
     178    0.524500    0.584500    0.436750
     179    0.496000    0.309750    0.583000
     180    0.529000    0.594750    0.481500
     181    0.543750    0.391000    0.530750
     182    0.323500    0.654250    0.653250
     183    0.562000    0.538500    0.446750
     184    0.541250    0.387250    0.431000
     185    0.505000    0.512750    0.565500
     186    0.519750    0.535250    0.520250
     187    0.526000    0.514250    0.503750
     188    0.506750    0.463000    0.572750
     189    0.463500    0.516250    0.374250
     190    0.515500    0.414500    0.536750
     191    0.479250    0.553750    0.596250
     192    0.530500    0.431500    0.569750
     193    0.589500    0.276000    0.526750
     194    0.496750    0.589000    0.532250
     195    0.425000    0.651000    0.457250
     196    0.504250    0.517750    0.567500
     197    0.525000    0.521250    0.526750
     198    0.617500    0.264750    0.493500
     199    0.609000    0.342500    0.434500
     200    0.596500    0.400250    0.382750
     201    0.439750    0.360000    0.717750
     202    0.516000    0.583000    0.522500
     203    0.518000    0.480000    0.347500
     204    0.450500    0.190750    0.665000
     205    0.519750    0.560750    0.496000
     206    0.475000    0.289000    0.472750
     207    0.511500    0.428750    0.503000
     208    0.479500    0.294250    0.400000
     209    0.450500    0.621000    0.566000
     210    0.437500    0.479750    0.693750
     211    0.458250    0.570750    0.553250
     212    0.545750    0.366750    0.434000
     213    0.599250    0.330500    0.495750
     214    0.534500    0.433750    0.557750
     215    0.655750    0.342500    0.228750
     216    0.523000    0.428500    0.464500
     217    0.543500    0.470000    0.511250
     218    0.541750    0.426500    0.550500
     219    0.540000    0.299500    0.614250
     220    0.535000    0.443250    0.558500
     221    0.509500    0.540750    0.321500
     222    0.519750    0.480250    0.574750
     223    0.520000    0.592250    0.406250
     224    0.512500    0.502000    0.500750
     225    0.462000    0.466000    0.482250
     226    0.447250    0.803750    0.112250
     227    0.481500    0.600500    0.550250
     228    0.494750    0.505500    0.566250
     229    0.505500    0.436250    0.626750
     230    0.545000    0.360500    0.437500
     231    0.321500    0.749000    0.502000
     232    0.576500    0.583750    0.272500
     233    0.542500    0.573500    0.442000
     234    0.516500    0.546750    0.520250
     235    0.481750    0.589500    0.572750
     236    0.494750    0.584000    0.466250
     237    0.592250    0.602000    0.231500
     238    0.462250    0.524500    0.584250
     239    0.465250    0.579500    0.567750
     240    0.557000    0.420750    0.539500
     241    0.242750    0.788000    0.677000
     242    0.514000    0.521500    0.576500
     243    0.551250    0.495250    0.508000
     244    0.460500    0.455500    0.668250
     245    0.473000    0.586250    0.529000
     246    0.483250    0.812500    0.006750
     247    0.487500    0.550250    0.381000
     248    0.522500    0.494000    0.564750
     249    0.521250    0.514000    0.526250
     250    0.583500    0.681750    0.014250
     251    0.480750    0.485750    0.628750
     252    0.466000    0.575000    0.576000
     253    0.518000    0.546250    0.442000
     254    0.454000    0.633750    0.513750
     255    0.442750    0.324750    0.704500
     256    0.546500    0.350250    0.574000
     257    0.463250    0.586000    0.570750
     258    0.505000    0.279500    0.584500
     259    0.516000    0.507750    0.572250
     260    0.442750    0.531000    0.650000
     261    0.613750    0.388250    0.280000
     262    0.492000    0.597000    0.497250
     263    0.528500    0.438750    0.536000
     264    0.552250    0.421000    0.528500
     265    0.466250    0.526500    0.617250
     266    0.518250    0.567750    0.502250
     267    0.389000    0.554000    0.676750
     268    0.477000    0.477750    0.420750
     269    0.459250    0.654750    0.446500
     270    0.409000    0.488250    0.449750
     271    0.521750    0.477500    0.567500
     272    0.470750    0.562750    0.572500
     273    0.501500    0.509750    0.567500
     274    0.414000    0.602000    0.641500
     275    0.519250    0.334250    0.639750
     276    0.465250    0.567250    0.550500
     277    0.339500    0.641250    0.598750
     278    0.316500    0.649000    0.699500
     279    0.538000    0.431750    0.548250
     280    0.488250    0.588250    0.529000
     281    0.486750    0.604500    0.363250
     282    0.537750    0.576750    0.437750
     283    0.440750    0.402250    0.709250
     284    0.514500    0.573000    0.456000
     285    0.494500    0.561000    0.534750
     286    0.595500    0.471000    0.254750
     287    0.423500    0.622750    0.616250
     288    0.515750    0.526750    0.554500
     289    0.487500    0.644750    0.429250
     290    0.524000    0.423000    0.564250
     291    0.531250    0.444500    0.570000
     292    0.508500    0.570250    0.517000
     293    0.483500    0.455750    0.591000
     294    0.456250    0.581750    0.565250
     295    0.467500    0.574000    0.560750
     296    0.446250    0.496250    0.618750
     297    0.531500    0.654250    0.350750
     298    0.703750    0.133750    0.248250
     299    0.568500    0.528500    0.373250
     300    0.504500    0.503250    0.563750
     301    0.550000    0.390750    0.432250
     302    0.507500    0.344000    0.664500
     303    0.397250    0.431750    0.691750
     304    0.412500    0.601000    0.645000
     305    0.497750    0.491250    0.521250
     306    0.547500    0.392500    0.585000
     307    0.549500    0.433000    0.561000
     308    0.424750    0.684250    0.450000
     309    0.460000    0.582500    0.509500
     310    0.488250    0.441750    0.443000
     311    0.511500    0.617250    0.432750
     312    0.537250    0.507750    0.520500
     313    0.538500    0.642750    0.321500
     314    0.552500    0.735000    0.054000
     315    0.491500    0.516750    0.558000
     316    0.456000    0.455750    0.554500
     317    0.515000    0.588250    0.517500
     318    0.550500    0.441250    0.552750
     319    0.599500    0.403750    0.356750
     320    0.527750    0.428000    0.549500
     321    0.415000    0.067500    0.824000
     322    0.142750    0.770000    0.768250
     323    0.507500    0.529500    0.567250
     324    0.510250    0.521000    0.559500
     325    0.446250    0.540750    0.586750
     326    0.521750    0.518750    0.568000
     327    0.535500    0.401750    0.590250
     328    0.628000    0.522250    0.184000
     329    0.536750    0.426500    0.554000
     330    0.476000    0.609250    0.510500
     331    0.517500    0.328250    0.542500
     332    0.514000    0.516250    0.561000
     333    0.562500    0.249250    0.586500
     334    0.508250    0.633000    0.436500
     335    0.468000    0.589750    0.236000
     336    0.471500    0.634750    0.509000
     337    0.444500    0.603250    0.569750
     338    0.556250    0.500250    0.439000
     339    0.543000    0.565500    0.436500
     340    0.551750    0.371250    0.474000
     341    0.456750    0.623000    0.553000
     342    0.457250    0.569000    0.582500
     343    0.534250    0.553250    0.455750
     344    0.649250    0.575250    0.000000
     345    0.534750    0.484000    0.535000
     346    0.523500    0.296500    0.593750
     347    0.566250    0.364750    0.589250
     348    0.499750    0.345750    0.680750
     349    0.535000    0.541500    0.491250
     350    0.540500    0.536000    0.513250
     351    0.543250    0.355500    0.608750
     352    0.455500    0.563000    0.576000
     353    0.446750    0.644000    0.454750
     354    0.392000    0.820250    0.263250
     355    0.580250    0.359500    0.504750
     356    0.386250    0.675000    0.600250
     357    0.484000    0.656000    0.233750
     358    0.564750    0.025250    0.631250
     359    0.493500    0.500750    0.481250
     360    0.578500    0.398750    0.498500
     361    0.383250    0.294250    0.827500
     362    0.518500    0.629250    0.374000
     363    0.484000    0.516250    0.618750
     364    0.536000    0.481000    0.545000
     365    0.541000    0.440000    0.560000
     366    0.420750    0.683250    0.540000
     367    0.519750    0.573000    0.510500
     368    0.728500    0.000000    0.013000
     369    0.554000    0.683750    0.228500
     370    0.502750    0.548750    0.544750
     371    0.419500    0.595750    0.626000
     372    0.549250    0.408750    0.530250
     373    0.491750    0.639250    0.462250
     374    0.365250    0.855750    0.305750
     375    0.462750    0.369500    0.644750
     376    0.402250    0.607000    0.658250
     377    0.446750    0.580000    0.571750
     378    0.520000    0.551500    0.501000
     379    0.408250    0.305750    0.589750
     380    0.425500    0.346500    0.662750
     381    0.531500    0.504250    0.413000
     382    0.531250    0.568750    0.444750
     383    0.506250    0.594250    0.466750
     384    0.468000    0.578500    0.576750
     385    0.470000    0.736000    0.260000
     386    0.438000    0.566500    0.619000
     387    0.522750    0.597000    0.362000
     388    0.637500    0.300750    0.369250
     389    0.605000    0.422000    0.385750
     390    0.505500    0.634250    0.464500
     391    0.537750    0.513750    0.507250
     392    0.506000    0.510750    0.462500
     393    0.470000    0.549000    0.594250
     394    0.396500    0.020000    0.887500
     395    0.541750    0.563750    0.442000
     396    0.553000    0.634250    0.278000
     397    0.429000    0.797250    0.189500
     398    0.559000    0.416000    0.576750
     399    0.538500    0.564500    0.431750
     400    0.480000    0.588250    0.531000
     401    0.458750    0.566750    0.581250
     402    0.538750    0.437750    0.556250
     403    0.504750    0.572250    0.516750
     404    0.535250    0.490750    0.539500
     405    0.592250    0.324250    0.468250
     406    0.545000    0.505250    0.504750
     407    0.461000    0.566500    0.572250
     408    0.530000    0.539500    0.539000
     409    0.460500    0.542000    0.575750
     410    0.298000    0.699750    0.647750
     411    0.397750    0.727250    0.347500
     412    0.512500    0.621250    0.440750
     413    0.543250    0.430250    0.574000
     414    0.467750    0.567250    0.564250
     415    0.406750    0.863500    0.215750
     416    0.502500    0.510500    0.576500
     417    0.526250    0.532750    0.530500
     418    0.533500    0.571000    0.445250
     419    0.572750    0.630500    0.000250
     420    0.545250    0.437250    0.554000
     421    0.394500    0.611750    0.638000
     422    0.419750    0.585000    0.416500
     423    0.532250    0.505000    0.526500
     424    0.536000    0.564500    0.442000
     425    0.382750    0.243000    0.767500
     426    0.607250    0.355500    0.436250
     427    0.527500    0.558500    0.489500
     428    0.520750    0.650500    0.349500
     429    0.559000    0.557500    0.290000
     430    0.547750    0.559250    0.439250
     431    0.526750    0.549750    0.498000
     432    0.507250    0.599000    0.481000
     433    0.688500    0.362250    0.080000
     434    0.540250    0.575000    0.439250
     435    0.523750    0.639750    0.409500
     436    0.460000    0.569500    0.568000
     437    0.520000    0.461500    0.584250
     438    0.420750    0.556000    0.578000
     439    0.397750    0.683250    0.571000
     440    0.515500    0.538750    0.501500
     441    0.539500    0.567000    0.439250
     442    0.571500    0.486500    0.438000
     443    0.508250    0.440250    0.605750
     444    0.501250    0.517250    0.563250
     445    0.451750    0.561500    0.562000
     446    0.533000    0.449250    0.574000
     447    0.503750    0.608000    0.500500
     448    0.473750    0.453750    0.299000
     449    0.417500    0.469500    0.431500
     450    0.540500    0.409750    0.535000
     451    0.474500    0.482250    0.503250
     452    0.609250    0.442500    0.325750
     453    0.490750    0.325250    0.561500
     454    0.468750    0.519750    0.453500
     455    0.542750    0.434750    0.563750
     456    0.436500    0.632000    0.571500
     457    0.408000    0.682250    0.541000
     458    0.502750    0.556750    0.552500
     459    0.534750    0.448000    0.559250
     460    0.453000    0.545000    0.635750
     461    0.473750    0.570750    0.570250
     462    0.537250    0.510000    0.515500
     463    0.520500    0.530000    0.534500
     464    0.472000    0.574500    0.557750
     465    0.282750    0.543250    0.630500
     466    0.497250    0.646000    0.308250
     467    0.515000    0.550500    0.490250
     468    0.463000    0.559250    0.580250
     469    0.436500    0.508000    0.608250
     470    0.410500    0.562000    0.592250
     471    0.551000    0.331250    0.417250
     472    0.489750    0.449750    0.594500
     473    0.574000    0.547250    0.332750
     474    0.457500    0.603750    0.557000
     475    0.622000    0.352000    0.371250
     476    0.441500    0.576250    0.493250
     477    0.510500    0.575250    0.507000
     478    0.477750    0.454000    0.524250
     479    0.539750    0.320500    0.462500
     480    0.454750    0.748250    0.147750
     481    0.545750    0.449000    0.556000
     482    0.478000    0.504500    0.440000
     483    0.515250    0.480750    0.572000
     484    0.503000    0.446000    0.609250
     485    0.399250    0.797750    0.327750
     486    0.460750    0.576250    0.584500
     487    0.459250    0.657500    0.492750
     488    0.302250    0.674000    0.730250
     489    0.524500    0.534000    0.539500
     490    0.528750    0.603750    0.421250
     491    0.474000    0.558750    0.564250
     492    0.569750    0.343250    0.480000
     493    0.539250    0.765750    0.072500
     494    0.414500    0.573250    0.665750
     495    0.536500    0.436250    0.527000
     496    0.465000    0.580750    0.558500
     497    0.580250    0.344750    0.479250
     498    0.601000    0.527000    0.276250
     499    0.425250    0.576250    0.621500
     500    0.510750    0.483500    0.547500
     501    0.527750    0.443750    0.552500
     502    0.362250    0.513250    0.779500
     503    0.556250    0.516250    0.422000
     504    0.570500    0.133500    0.612250
     505    0.431000    0.612750    0.534250
     506    0.480750    0.576500    0.569750
     507    0.543500    0.426000    0.457500
     508    0.347250    0.558000    0.748000
     509    0.628750    0.135500    0.435000
     510    0.574500    0.313750    0.524500
     511    0.485500    0.645750    0.437250
     512    0.497750    0.608500    0.511000
     513    0.477250    0.488500    0.529750
     514    0.386750    0.632000    0.386750
     515    0.457750    0.535250    0.644000
     516    0.549500    0.547250    0.456250
     517    0.587500    0.003000    0.461750
     518    0.545250    0.434500    0.566250
     519    0.525250    0.433000    0.272750
     520    0.458000    0.573500    0.576500
     521    0.552500    0.264000    0.643000
     522    0.429250    0.630750    0.560500
     523    0.495500    0.444000    0.547000
     524    0.421750    0.362500    0.738250
     525    0.434250    0.626500    0.588500
     526    0.624250    0.450750    0.267750
     527    0.536250    0.516000    0.519750
     528    0.555250    0.589250    0.362500
     529    0.453750    0.576250    0.559500
     530    0.514000    0.586250    0.509750
     531    0.502500    0.565500    0.421500
     532    0.512000    0.570750    0.515750
     533    0.446000    0.411250    0.546000
     534    0.475000    0.780500    0.278250
     535    0.463250    0.575500    0.573000
     536    0.498000    0.554500    0.559750
     537    0.583750    0.520000    0.316250
     538    0.461750    0.667500    0.481750
     539    0.532250    0.379500    0.611000
     540    0.520750    0.520750    0.411250
     541    0.520500    0.513500    0.563250
     542    0.564250    0.330750    0.423750
     543    0.568250    0.000250    0.614000
     544    0.464250    0.549500    0.566250
     545    0.729500    0.018500    0.058500
     546    0.544000    0.568000    0.440500
     547    0.476500    0.713750    0.365250
     548    0.576500    0.391500    0.428500
     549    0.340750    0.919000    0.161250
     550    0.478000    0.619500    0.568500
     551    0.457250    0.620750    0.408250
     552    0.514000    0.507250    0.567750
     553    0.542750    0.502000    0.525000
     554    0.494500    0.524250    0.582500
     555    0.369750    0.511500    0.559750
     556    0.493000    0.470000    0.630250
     557    0.463250    0.561250    0.571500
     558    0.510250    0.522500    0.572000
     559    0.547500    0.589500    0.328750
     560    0.418750    0.639000    0.538500
     561    0.527250    0.459500    0.612250
     562    0.540500    0.450500    0.554000
     563    0.498500    0.484500    0.598500
     564    0.536000    0.561250    0.402250
     565    0.655500    0.266250    0.287750
     566    0.482250    0.567750    0.483500
     567    0.474750    0.557500    0.561500
     568    0.546250    0.432250    0.574000
     569    0.363000    0.653750    0.637000
     570    0.511500    0.565750    0.525750
     571    0.465250    0.371750    0.696250
     572    0.520250    0.516000    0.561250
     573    0.371000    0.743250    0.507250
     574    0.430250    0.691500    0.199250
     575    0.585250    0.293500    0.426000
     576    0.531250    0.278500    0.671000
     577    0.546750    0.438000    0.558500
     578    0.520750    0.412500    0.587750
     579    0.542250    0.451000    0.555250
     580    0.560750    0.350750    0.545250
     581    0.506500    0.569250    0.515500
     582    0.440500    0.591750    0.426000
     583    0.464250    0.665500    0.407250
     584    0.518750    0.498250    0.552250
     585    0.540500    0.541500    0.346000
     586    0.002250    0.912500    0.541000
     587    0.548250    0.541000    0.467250
     588    0.516750    0.536500    0.477500
     589    0.517250    0.583250    0.513000
     590    0.542250    0.515000    0.509750
     591    0.461750    0.567250    0.561500
     592    0.461000    0.487750    0.511500
     593    0.393750    0.931500    0.009750
     594    0.547000    0.323500    0.562750
     595    0.500500    0.514750    0.568500
     596    0.535500    0.569750    0.435750
     597    0.583500    0.415000    0.504250
     598    0.510750    0.573500    0.512500
     599    0.298250    0.735000    0.647500
     600    0.598250    0.485500    0.364250
     601    0.532750    0.533000    0.492250
     602    0.550500    0.487500    0.497500
     603    0.460250    0.684250    0.378000
     604    0.515500    0.518500    0.427250
     605    0.535500    0.425000    0.590500
     606    0.343750    0.691500    0.647000
     607    0.537000    0.441750    0.570750
     608    0.521000    0.586500    0.413750
     609    0.499250    0.517750    0.565500
     610    0.545000    0.354750    0.505000
     611    0.439750    0.729250    0.276000
     612    0.559000    0.577000    0.347250
     613    0.402750    0.635250    0.505750
     614    0.496000    0.594250    0.443750
     615    0.491250    0.514500    0.565250
     616    0.549750    0.325250    0.586250
     617    0.482750    0.549000    0.416500
     618    0.596750    0.383750    0.438750
     619    0.534250    0.442250    0.576000
     620    0.283000    0.412000    0.900750
     621    0.468250    0.562500    0.572500
     622    0.533250    0.437500    0.552500
     623    0.532500    0.442500    0.383500
     624    0.358500    0.576500    0.681250
     625    0.471250    0.566000    0.576750
     626    0.532750    0.565000    0.430750
     627    0.466000    0.566750    0.571000
     628    0.446000    0.633750    0.548250
     629    0.498750    0.536250    0.501000
     630    0.429750    0.572500    0.621000
     631    0.524250    0.484000    0.506250
     632    0.573250    0.429250    0.426000
     633    0.538000    0.584500    0.406750
     634    0.481000    0.484000    0.621750
     635    0.531500    0.551000    0.437000
     636    0.533500    0.436000    0.562500
     637    0.500750    0.517500    0.557500
     638    0.491000    0.334250    0.596500
     639    0.515750    0.586500    0.512000
     640    0.447750    0.792000    0.290250
     641    0.603500    0.401250    0.312000
     642    0.459750    0.577000    0.572500
     643    0.531750    0.445000    0.574750
     644    0.524000    0.583000    0.437750
     645    0.548750    0.570500    0.440250
     646    0.493750    0.368500    0.677500
     647    0.559250    0.352000    0.521750
     648    0.573250    0.462500    0.467750
     649    0.517500    0.522750    0.477000
     650    0.517500    0.431000    0.560500
     651    0.400000    0.607250    0.657500
     652    0.579250    0.000000    0.627750
     653    0.510250    0.540250    0.529500
     654    0.378500    0.759000    0.406250
     655    0.533000    0.146750    0.635750
     656    0.443250    0.617000    0.528250
     657    0.438500    0.440500    0.691500
     658    0.517500    0.510750    0.567750
     659    0.534000    0.196250    0.673000
     660    0.492750    0.092750    0.754000
     661    0.492750    0.495000    0.471500
     662    0.465000    0.571250    0.564000
     663    0.504250    0.511250    0.586250
     664    0.535000    0.482500    0.373750
     665    0.401750    0.604250    0.655500
     666    0.543000    0.519500    0.499250
     667    0.461500    0.556750    0.573250
     668    0.398250    0.461250    0.605250
     669    0.459000    0.581000    0.573750
     670    0.590000    0.366750    0.128000
     671    0.582250    0.077750    0.530000
     672    0.551250    0.510000    0.507250
     673    0.472000    0.609000    0.547250
     674    0.555500    0.567250    0.368000
     675    0.485500    0.620750    0.517500
     676    0.522750    0.579750    0.513750
     677    0.470500    0.569000    0.578500
     678    0.523500    0.666000    0.317500
     679    0.542250    0.491000    0.423500
     680    0.569000    0.262000    0.466500
     681    0.493000    0.513750    0.427000
     682    0.535500    0.410250    0.586250
     683    0.550000    0.517500    0.478000
     684    0.513750    0.542750    0.432750
     685    0.581000    0.409000    0.274250
     686    0.480750    0.628500    0.490750
     687    0.469250    0.570750    0.566250
     688    0.535250    0.568000    0.431250
     689    0.511750    0.549250    0.420750
     690    0.524250    0.546000    0.503000
     691    0.554000    0.477750    0.472500
     692    0.133250    0.605000    0.892000
     693    0.605250    0.252000    0.248250
     694    0.438000    0.589250    0.584000
     695    0.479250    0.421750    0.598500
     696    0.509250    0.577500    0.461500
     697    0.299750    0.635500    0.755750
     698    0.456750    0.576500    0.561750
     699    0.366250    0.430750    0.648500
     700    0.352750    0.613500    0.697250
     701    0.564250    0.717750    0.118750
     702    0.485000    0.657250    0.431250
     703    0.437000    0.656250    0.528750
     704    0.546750    0.452750    0.525500
     705    0.497500    0.570000    0.508750
     706    0.590250    0.604250    0.214250
     707    0.508000    0.508000    0.548750
     708    0.414250    0.385250    0.743000
     709    0.478750    0.591250    0.422750
     710    0.643000    0.292000    0.377500
     711    0.457250    0.580750    0.613500
     712    0.430500    0.563750    0.619500
     713    0.511250    0.557500    0.446500
     714    0.534250    0.050000    0.783500
     715    0.602750    0.669000    0.010000
     716    0.514000    0.521500    0.569250
     717    0.367500    0.586250    0.713250
     718    0.449750    0.641250    0.505000
     719    0.537000    0.566500    0.439000
     720    0.462000    0.581250    0.562000
     721    0.535750    0.554750    0.435500
     722    0.478500    0.604750    0.525500
     723    0.436750    0.588250    0.588250
     724    0.619250    0.121500    0.585000
     725    0.547750    0.516250    0.475250
     726    0.508000    0.500000    0.545000
     727    0.592500    0.688000    0.005250
     728    0.415500    0.572250    0.361750
     729    0.448250    0.566250    0.458750
     730    0.380750    0.576750    0.693750
     731    0.424250    0.617250    0.480250
     732    0.589000    0.224500    0.612000
     733    0.519750    0.329500    0.657250
     734    0.380750    0.631000    0.551750
     735    0.505250    0.498000    0.571500
     736    0.599250    0.263250    0.500750
     737    0.585000    0.640500    0.012000
     738    0.528500    0.538500    0.467250
     739    0.476750    0.307750    0.546750
     740    0.518000    0.511000    0.558000
     741    0.494000    0.527500    0.561250
     742    0.486500    0.503000    0.589750
     743    0.497500    0.514500    0.565500
     744    0.566250    0.391250    0.519000
     745    0.551000    0.513000    0.521750
     746    0.561750    0.406250    0.398750
     747    0.469750    0.602250    0.506000
     748    0.546000    0.495000    0.513500
     749    0.412000    0.583000    0.431750
     750    0.469000    0.599250    0.532000
     751    0.392250    0.567500    0.675750
     752    0.451750    0.655750    0.521000
     753    0.463750    0.585750    0.583750
     754    0.535000    0.440000    0.571750
     755    0.513000    0.517250    0.563500
     756    0.461750    0.305000    0.677000
     757    0.527000    0.443250    0.571000
     758    0.443250    0.576000    0.463750
     759    0.468250    0.538000    0.539000
     760    0.410750    0.482750    0.552000
     761    0.582750    0.354000    0.504500
     762    0.506500    0.504750    0.427000
     763    0.535250    0.507500    0.511750
     764    0.474500    0.677500    0.417750
     765    0.513500    0.556000    0.495750
     766    0.506750    0.572000    0.515750
     767    0.525000    0.577750    0.470500
     768    0.597000    0.477000    0.292750
     769    0.434750    0.339500    0.735250
     770    0.526500    0.540250    0.538250
     771    0.329500    0.463750    0.797250
     772    0.515000    0.532000    0.532750
     773    0.476500    0.574500    0.561750
     774    0.545750    0.521250    0.460250
     775    0.525500    0.326000    0.641250
