   locus    deme        mean         std
     156       1    0.249715    0.047660
     156       2    0.228073    0.049763
     156       3    0.176910    0.045041
     157       1    0.626129    0.051508
     157       2    0.603013    0.056562
     157       3    0.573688    0.058628
     158       1    0.100178    0.029748
     158       2    0.122645    0.037652
     158       3    0.085513    0.030761
     159       1    0.048000    0.021418
     159       2    0.027766    0.018596
     159       3    0.052586    0.024471
     160       1    0.026974    0.016502
     160       2    0.043820    0.022539
     160       3    0.018976    0.015419
     161       1    0.586525    0.055457
     161       2    0.511336    0.059377
     161       3    0.523048    0.059493
     162       1    0.093541    0.029471
     162       2    0.067565    0.027100
     162       3    0.085722    0.030471
     163       1    0.022690    0.013597
     163       2    0.012106    0.012115
     163       3    0.012368    0.012197
     164       1    0.020474    0.013213
     164       2    0.013246    0.012427
     164       3    0.021079    0.014716
     165       1    0.323852    0.054764
     165       2    0.494162    0.073699
     165       3    0.312567    0.058319
     166       1    0.023911    0.014716
     166       2    0.016097    0.013783
     166       3    0.031725    0.018490
     167       1    0.020170    0.013077
     167       2    0.013277    0.012492
     167       3    0.020706    0.014736
     168       1    0.236256    0.043794
     168       2    0.243054    0.046905
     168       3    0.254924    0.048506
     169       1    0.534852    0.053276
     169       2    0.519971    0.056999
     169       3    0.508982    0.056391
     170       1    0.241408    0.043492
     170       2    0.222486    0.046893
     170       3    0.231222    0.046686
     171       1    0.039664    0.019243
     171       2    0.033202    0.018861
     171       3    0.041117    0.021072
     172       1    0.050937    0.022738
     172       2    0.078498    0.031436
     172       3    0.042189    0.022425
     173       1    0.020532    0.013423
     173       2    0.020972    0.015215
     173       3    0.014059    0.013020
     174       1    0.014042    0.012039
     174       2    0.028080    0.017672
     174       3    0.011616    0.011670
     175       1    0.018986    0.013951
     175       2    0.008481    0.011326
     175       3    0.008907    0.011386
     176       1    0.013701    0.011747
     176       2    0.026941    0.017263
     176       3    0.011435    0.011637
     177       1    0.016544    0.013038
     177       2    0.020540    0.014745
     177       3    0.020446    0.014951
     178       1    0.047966    0.021436
     178       2    0.038971    0.020972
     178       3    0.063841    0.027096
     179       1    0.429208    0.052516
     179       2    0.489727    0.062170
     179       3    0.402595    0.057040
     180       1    0.024392    0.015172
     180       2    0.016216    0.014010
     180       3    0.031879    0.018596
     181       1    0.140633    0.035029
     181       2    0.178574    0.044620
     181       3    0.147686    0.038715
     182       1    0.065255    0.029367
     182       2    0.023685    0.017872
     182       3    0.024315    0.018063
     183       1    0.081335    0.027616
     183       2    0.085909    0.030541
     183       3    0.103739    0.034324
     184       1    0.415949    0.052227
     184       2    0.463285    0.057693
     184       3    0.441994    0.055989
     185       1    0.019833    0.013361
     185       2    0.020734    0.015172
     185       3    0.013152    0.012498
     186       1    0.026549    0.015855
     186       2    0.025368    0.016632
     186       3    0.025840    0.016832
     187       1    0.036157    0.018222
     187       2    0.041372    0.021139
     187       3    0.041537    0.021342
     188       1    0.024486    0.015066
     188       2    0.032084    0.018693
     188       3    0.016900    0.014262
     189       1    0.668237    0.048510
     189       2    0.655259    0.052911
     189       3    0.695013    0.051681
     190       1    0.265722    0.046692
     190       2    0.289220    0.051429
     190       3    0.258493    0.049710
     191       1    0.108306    0.030362
     191       2    0.092914    0.031457
     191       3    0.086201    0.030675
     192       1    0.013402    0.011859
     192       2    0.026866    0.017445
     192       3    0.010985    0.011359
     193       1    0.204415    0.043978
     193       2    0.283337    0.058722
     193       3    0.213967    0.046893
     194       1    0.050324    0.020947
     194       2    0.037399    0.020318
     194       3    0.046385    0.022509
     195       1    0.352746    0.049395
     195       2    0.295467    0.053168
     195       3    0.355782    0.054587
     196       1    0.019867    0.013291
     196       2    0.020737    0.014817
     196       3    0.013159    0.012302
     197       1    0.045487    0.020504
     197       2    0.045626    0.022753
     197       3    0.045769    0.021701
     198       1    0.159425    0.040711
     198       2    0.242026    0.055207
     198       3    0.183111    0.044230
     199       1    0.045425    0.023006
     199       2    0.091659    0.034610
     199       3    0.070059    0.028062
     200       1    0.237577    0.046927
     200       2    0.286658    0.053533
     200       3    0.294700    0.053910
     201       1    0.197359    0.041871
     201       2    0.221142    0.050135
     201       3    0.138605    0.040430
     202       1    0.020096    0.013295
     202       2    0.013073    0.012495
     202       3    0.020880    0.014963
     203       1    0.445857    0.052473
     203       2    0.455476    0.057745
     203       3    0.497040    0.058762
     204       1    0.638227    0.051970
     204       2    0.723837    0.057730
     204       3    0.582666    0.061625
     205       1    0.031227    0.017523
     205       2    0.029084    0.018146
     205       3    0.037577    0.020550
     206       1    0.794253    0.042815
     206       2    0.843481    0.041444
     206       3    0.793204    0.045932
     207       1    0.305668    0.048309
     207       2    0.331258    0.052993
     207       3    0.311790    0.051323
     208       1    0.851167    0.037834
     208       2    0.892296    0.034830
     208       3    0.863679    0.037755
     209       1    0.069255    0.024514
     209       2    0.045044    0.022787
     209       3    0.053200    0.023965
     210       1    0.186482    0.041785
     210       2    0.179177    0.043260
     210       3    0.131560    0.038955
     211       1    0.023166    0.014313
     211       2    0.012370    0.012832
     211       3    0.012358    0.012392
     212       1    0.433589    0.053694
     212       2    0.481779    0.057781
     212       3    0.461402    0.056307
     213       1    0.061185    0.026558
     213       2    0.110042    0.038516
     213       3    0.078074    0.030593
     214       1    0.014246    0.011884
     214       2    0.027143    0.017278
     214       3    0.011648    0.011730
     215       1    0.157827    0.044558
     215       2    0.223563    0.051212
     215       3    0.263215    0.058361
     216       1    0.330108    0.048358
     216       2    0.356135    0.054742
     216       3    0.345973    0.052621
     217       1    0.076144    0.026744
     217       2    0.091564    0.033039
     217       3    0.082720    0.029808
     218       1    0.013446    0.011748
     218       2    0.026996    0.017180
     218       3    0.010987    0.011160
     219       1    0.166929    0.039099
     219       2    0.227347    0.052925
     219       3    0.151858    0.041879
     220       1    0.013540    0.011693
     220       2    0.026815    0.017417
     220       3    0.011306    0.011654
     221       1    0.455530    0.052306
     221       2    0.449442    0.057852
     221       3    0.512544    0.059271
     222       1    0.043986    0.019999
     222       2    0.052752    0.023618
     222       3    0.037385    0.020514
     223       1    0.156752    0.036413
     223       2    0.143702    0.038551
     223       3    0.182128    0.043225
     224       1    0.244377    0.043954
     224       2    0.246821    0.048132
     224       3    0.247457    0.048002
     225       1    0.587926    0.049819
     225       2    0.593140    0.055628
     225       3    0.581929    0.054953
     226       1    0.565584    0.058017
     226       2    0.458754    0.068491
     226       3    0.702958    0.065361
     227       1    0.028962    0.016275
     227       2    0.016852    0.014569
     227       3    0.024719    0.016344
     228       1    0.019836    0.013072
     228       2    0.020334    0.014712
     228       3    0.013313    0.012622
     229       1    0.071426    0.026261
     229       2    0.085396    0.031180
     229       3    0.051626    0.025129
     230       1    0.489279    0.052361
     230       2    0.544258    0.058393
     230       3    0.520356    0.057198
     231       1    0.512800    0.059140
     231       2    0.389752    0.063839
     231       3    0.463473    0.057853
     232       1    0.163564    0.040995
     232       2    0.161557    0.042567
     232       3    0.239892    0.055669
     233       1    0.013527    0.011830
     233       2    0.010966    0.011538
     233       3    0.026734    0.017194
     234       1    0.026457    0.015383
     234       2    0.025491    0.016602
     234       3    0.025779    0.016859
     235       1    0.023379    0.014058
     235       2    0.012505    0.012266
     235       3    0.012736    0.012166
     236       1    0.201044    0.041227
     236       2    0.184705    0.043581
     236       3    0.211679    0.045658
     237       1    0.128197    0.037024
     237       2    0.123867    0.039077
     237       3    0.215396    0.055751
     238       1    0.218313    0.041828
     238       2    0.208847    0.045992
     238       3    0.190208    0.043349
     239       1    0.023156    0.014240
     239       2    0.012055    0.011892
     239       3    0.012246    0.011923
     240       1    0.151223    0.036877
     240       2    0.182249    0.044148
     240       3    0.152581    0.039397
     241       1    0.195135    0.051678
     241       2    0.086111    0.036143
     241       3    0.107550    0.037398
     242       1    0.020579    0.013595
     242       2    0.020770    0.014909
     242       3    0.013499    0.012342
     243       1    0.016258    0.012433
     243       2    0.020411    0.014623
     243       3    0.020587    0.014887
     244       1    0.126164    0.034703
     244       2    0.130387    0.038264
     244       3    0.085890    0.032411
     245       1    0.029549    0.016401
     245       2    0.017419    0.014538
     245       3    0.024874    0.016590
     246       1    0.224050    0.052211
     246       2    0.152457    0.048548
     246       3    0.523730    0.074679
     247       1    0.444391    0.051819
     247       2    0.431776    0.057926
     247       3    0.480956    0.057265
     248       1    0.020694    0.013575
     248       2    0.021460    0.015493
     248       3    0.013661    0.012545
     249       1    0.149961    0.035596
     249       2    0.148850    0.039386
     249       3    0.148524    0.038476
     250       1    0.071873    0.032021
     250       2    0.058799    0.029318
     250       3    0.302014    0.071391
     251       1    0.046945    0.021008
     251       2    0.052172    0.024111
     251       3    0.028624    0.018765
     252       1    0.022711    0.014216
     252       2    0.011624    0.011845
     252       3    0.011937    0.012445
     253       1    0.265332    0.045330
     253       2    0.259597    0.049162
     253       3    0.287581    0.051677
     254       1    0.124235    0.033641
     254       2    0.091204    0.031778
     254       3    0.109985    0.033642
     255       1    0.295787    0.048835
     255       2    0.335055    0.058259
     255       3    0.237593    0.050940
     256       1    0.058816    0.024300
     256       2    0.094348    0.035360
     256       3    0.055974    0.025105
     257       1    0.023344    0.014139
     257       2    0.012657    0.012393
     257       3    0.013075    0.012225
     258       1    0.434842    0.053286
     258       2    0.506149    0.060378
     258       3    0.419147    0.058121
     259       1    0.019972    0.012941
     259       2    0.020809    0.015254
     259       3    0.013455    0.012192
     260       1    0.166060    0.037630
     260       2    0.149091    0.039052
     260       3    0.121919    0.036837
     261       1    0.314801    0.053477
     261       2    0.370705    0.057022
     261       3    0.406601    0.060478
     262       1    0.054466    0.022331
     262       2    0.041099    0.021838
     262       3    0.057088    0.025141
     263       1    0.052915    0.022246
     263       2    0.068987    0.027479
     263       3    0.051977    0.023740
     264       1    0.042967    0.020518
     264       2    0.064379    0.027434
     264       3    0.047019    0.023102
     265       1    0.092480    0.028664
     265       2    0.085062    0.031244
     265       3    0.068299    0.027877
     266       1    0.019868    0.013322
     266       2    0.012857    0.012438
     266       3    0.020926    0.015392
     267       1    0.208855    0.044215
     267       2    0.174758    0.043203
     267       3    0.147076    0.040750
     268       1    0.589058    0.049973
     268       2    0.595045    0.055409
     268       3    0.606365    0.054439
     269       1    0.222803    0.043993
     269       2    0.180551    0.044005
     269       3    0.230432    0.049018
     270       1    0.826490    0.038310
     270       2    0.811922    0.044459
     270       3    0.821088    0.041402
     271       1    0.082134    0.027774
     271       2    0.091925    0.031677
     271       3    0.075415    0.028136
     272       1    0.023614    0.014515
     272       2    0.012511    0.012466
     272       3    0.012828    0.012521
     273       1    0.020337    0.013631
     273       2    0.020795    0.015571
     273       3    0.013633    0.012772
     274       1    0.178074    0.040295
     274       2    0.142677    0.039561
     274       3    0.135229    0.038352
     275       1    0.066778    0.025552
     275       2    0.108772    0.038423
     275       3    0.050605    0.024206
     276       1    0.023043    0.014526
     276       2    0.011980    0.012243
     276       3    0.012743    0.013006
     277       1    0.340634    0.054845
     277       2    0.263480    0.053363
     277       3    0.275963    0.052606
     278       1    0.114707    0.037401
     278       2    0.065332    0.028578
     278       3    0.057588    0.026863
     279       1    0.013712    0.011829
     279       2    0.026865    0.017756
     279       3    0.011227    0.011629
     280       1    0.029775    0.016557
     280       2    0.017395    0.014830
     280       3    0.025110    0.016520
     281       1    0.351175    0.051290
     281       2    0.322545    0.054629
     281       3    0.393555    0.058278
     282       1    0.014319    0.012085
     282       2    0.011506    0.011894
     282       3    0.027054    0.017187
     283       1    0.233703    0.045361
     283       2    0.245630    0.051042
     283       3    0.175203    0.045121
     284       1    0.115087    0.032503
     284       2    0.101837    0.033114
     284       3    0.128381    0.037511
     285       1    0.054806    0.022300
     285       2    0.049014    0.023015
     285       3    0.049408    0.023729
     286       1    0.236570    0.048499
     286       2    0.264143    0.051933
     286       3    0.336741    0.061299
     287       1    0.093260    0.029535
     287       2    0.063033    0.026426
     287       3    0.064525    0.026929
     288       1    0.020409    0.013411
     288       2    0.020755    0.015060
     288       3    0.014066    0.013136
     289       1    0.070759    0.025343
     289       2    0.049960    0.024081
     289       3    0.084860    0.031104
     290       1    0.013282    0.011843
     290       2    0.026971    0.018100
     290       3    0.011136    0.012455
     291       1    0.013614    0.011711
     291       2    0.026325    0.016688
     291       3    0.011355    0.011746
     292       1    0.019718    0.013170
     292       2    0.012852    0.012315
     292       3    0.020345    0.014594
     293       1    0.176912    0.037817
     293       2    0.189591    0.044697
     293       3    0.152968    0.040009
     294       1    0.023496    0.014798
     294       2    0.012143    0.012181
     294       3    0.012693    0.012400
     295       1    0.023031    0.013970
     295       2    0.012303    0.012222
     295       3    0.012664    0.012331
     296       1    0.193353    0.040858
     296       2    0.185149    0.044889
     296       3    0.158505    0.040662
     297       1    0.044623    0.021837
     297       2    0.028583    0.019562
     297       3    0.074311    0.032267
     298       1    0.057751    0.035691
     298       2    0.195673    0.060115
     298       3    0.139433    0.048132
     299       1    0.125466    0.034409
     299       2    0.130225    0.036971
     299       3    0.168968    0.043948
     300       1    0.020097    0.012783
     300       2    0.020735    0.014792
     300       3    0.013541    0.012740
     301       1    0.360607    0.051836
     301       2    0.406298    0.056190
     301       3    0.393671    0.056511
     302       1    0.150846    0.037053
     302       2    0.191996    0.047114
     302       3    0.121050    0.037389
     303       1    0.378233    0.051181
     303       2    0.378805    0.056832
     303       3    0.303876    0.056469
     304       1    0.059076    0.025002
     304       2    0.035699    0.021245
     304       3    0.028485    0.018433
     305       1    0.256783    0.044685
     305       2    0.262119    0.049288
     305       3    0.252614    0.048261
     306       1    0.069748    0.025830
     306       2    0.096911    0.033558
     306       3    0.061410    0.026675
     307       1    0.013437    0.011774
     307       2    0.027178    0.017940
     307       3    0.010943    0.011828
     308       1    0.278394    0.047675
     308       2    0.214917    0.048331
     308       3    0.276723    0.051555
     309       1    0.256002    0.044495
     309       2    0.229222    0.048237
     309       3    0.249617    0.048223
     310       1    0.448025    0.050036
     310       2    0.464250    0.055523
     310       3    0.464256    0.056026
     311       1    0.037310    0.018026
