 COVARIABLE MRK M_Beta SD_Beta M_Delta BF(dB) 
  1     237   0.00035107   0.00691152   0.00300000  -5.25938709
  1     238  -0.00009133   0.00241529   0.00500000  -3.03217882
  1     239  -0.00021533   0.00520674   0.00300000  -5.25938709
  1     240   0.00005374   0.00295537   0.00300000  -5.25938709
  1     241  -0.00003410   0.00119885   0.00200000  -7.02465351
  1     242  -0.00026474   0.00426323   0.00400000  -4.00564152
  1     243  -0.00000626   0.00019771   0.00100000 -13.05177600
  1     244   0.00001192   0.00037688   0.00100000 -13.05177600
  1     245   0.00001448   0.00045752   0.00100000 -13.05177600
  1     246  -0.00091043   0.00910762   0.01200000   0.80059496
  1     247  -0.00011826   0.00495157   0.00700000  -1.56216014
  1     248   0.00004666   0.00092076   0.00300000  -5.25938709
  1     249   0.00042099   0.00434938   0.01300000   1.15261394
  1     250  -0.00095742   0.01027135   0.01000000   0.00000000
  1     251   0.00003853   0.00098208   0.00200000  -7.02465351
  1     252  -0.00031538   0.00540678   0.00800000  -0.97786491
  1     253  -0.00016001   0.00352091   0.00300000  -5.25938709
  1     254   0.00000000   0.00000000   0.00000000 -13.05177600
  1     255   0.00001104   0.00031298   0.00200000  -7.02465351
  1     256  -0.00002440   0.00077120   0.00100000 -13.05177600
  1     257   0.00009545   0.00448432   0.00500000  -3.03217882
  1     258   0.00021034   0.00334994   0.00500000  -3.03217882
  1     259   0.00003729   0.00121599   0.00300000  -5.25938709
  1     260   0.00006776   0.00151421   0.00200000  -7.02465351
  1     261   0.00000000   0.00000000   0.00000000 -13.05177600
  1     262  -0.00071242   0.01166105   0.00800000  -0.97786491
  1     263  -0.00001620   0.00258808   0.00300000  -5.25938709
  1     264  -0.00001981   0.00062617   0.00100000 -13.05177600
  1     265  -0.00139249   0.01218278   0.01500000   1.78290223
  1     266  -0.00002825   0.00143790   0.00200000  -7.02465351
  1     267  -0.00002548   0.00309311   0.00500000  -3.03217882
  1     268   0.00001354   0.00137755   0.00400000  -4.00564152
  1     269   0.00004670   0.00497110   0.00400000  -4.00564152
  1     270   0.00000000   0.00000000   0.00000000 -13.05177600
  1     271  -0.00014995   0.00347382   0.00200000  -7.02465351
  1     272   0.00011740   0.00324206   0.00300000  -5.25938709
  1     273   0.00000781   0.00024693   0.00100000 -13.05177600
  1     274  -0.00003419   0.00169923   0.00200000  -7.02465351
  1     275   0.00000000   0.00000000   0.00000000 -13.05177600
  1     276   0.00004106   0.00129779   0.00100000 -13.05177600
  1     277  -0.00016441   0.00318060   0.00300000  -5.25938709
  1     278   0.00012287   0.00882889   0.00700000  -1.56216014
  1     279  -0.00000111   0.00003494   0.00100000 -13.05177600
  1     280   0.00010999   0.00293972   0.00400000  -4.00564152
  1     281  -0.00008666   0.00215113   0.00300000  -5.25938709
  1     282   0.00009621   0.00304079   0.00100000 -13.05177600
  1     283  -0.00003583   0.00113242   0.00100000 -13.05177600
  1     284   0.00031328   0.00539244   0.00500000  -3.03217882
  1     285  -0.00007058   0.00223083   0.00100000 -13.05177600
  1     286  -0.00007321   0.00231406   0.00100000 -13.05177600
  1     287   0.00000000   0.00000000   0.00000000 -13.05177600
  1     288   0.00000000   0.00000000   0.00000000 -13.05177600
  1     289   0.00000772   0.00229405   0.00200000  -7.02465351
  1     290   0.00038070   0.00506532   0.00700000  -1.56216014
  1     291   0.00000000   0.00000000   0.00000000 -13.05177600
  1     292  -0.00005939   0.00171862   0.00400000  -4.00564152
  1     293   0.00007270   0.00117054   0.00400000  -4.00564152
  1     294  -0.00015585   0.00239258   0.00800000  -0.97786491
  1     295  -0.00007683   0.00125962   0.00400000  -4.00564152
  1     296  -0.00006791   0.00214651   0.00100000 -13.05177600
  1     297   0.00061814   0.00996803   0.00800000  -0.97786491
  1     298   0.00002774   0.00087681   0.00100000 -13.05177600
  1     299   0.00017134   0.00324837   0.00700000  -1.56216014
  1     300   0.00115096   0.01241035   0.01100000   0.41831588
  1     301   0.00001953   0.00061732   0.00100000 -13.05177600
  1     302   0.00000000   0.00000000   0.00000000 -13.05177600
  1     303  -0.00017929   0.00525546   0.00400000  -4.00564152
  1     304   0.00000000   0.00000000   0.00000000 -13.05177600
  1     305   0.00001243   0.00039284   0.00100000 -13.05177600
  1     306  -0.00031716   0.00537285   0.00500000  -3.03217882
  1     307  -0.00000894   0.00028261   0.00100000 -13.05177600
  1     308   0.00010513   0.00237458   0.00200000  -7.02465351
  1     309  -0.00051291   0.00941043   0.00700000  -1.56216014
  1     310   0.00016897   0.00381779   0.00200000  -7.02465351
  1     311  -0.00012252   0.00292909   0.00200000  -7.02465351
  1     312  -0.00014519   0.00324357   0.00200000  -7.02465351
  1     313   0.00000000   0.00000000   0.00000000 -13.05177600
  1     314  -0.00524069   0.03097430   0.03500000   5.55175926
  1     315  -0.00194620   0.01756805   0.01400000   1.47886315
  1     316   0.00000000   0.00000000   0.00000000 -13.05177600
  1     317  -0.00019167   0.00778557   0.01300000   1.15261394
  1     318  -0.00032062   0.00665014   0.00600000  -2.23599939
  1     319   0.00024544   0.00414344   0.00500000  -3.03217882
  1     320  -0.00003794   0.00087426   0.00200000  -7.02465351
  1     321   0.00032073   0.00446971   0.00800000  -0.97786491
  1     322   0.00000000   0.00000000   0.00000000 -13.05177600
  1     323  -0.00024295   0.00339694   0.00700000  -1.56216014
  1     324   0.00010517   0.00269890   0.00400000  -4.00564152
  1     325   0.00068324   0.01029343   0.00700000  -1.56216014
  1     326   0.00000000   0.00000000   0.00000000 -13.05177600
  1     327  -0.00088062   0.00731722   0.01600000   2.06760079
  1     328   0.00003352   0.00090225   0.00300000  -5.25938709
  1     329  -0.00001766   0.00124095   0.00300000  -5.25938709
  1     330   0.00000596   0.00046313   0.00200000  -7.02465351
  1     331   0.00014812   0.00257281   0.00500000  -3.03217882
  1     332  -0.00028262   0.00468295   0.00400000  -4.00564152
  1     333   0.00015647   0.00388094   0.00400000  -4.00564152
  1     334   0.00003845   0.00114160   0.00200000  -7.02465351
  1     335  -0.00001257   0.00039746   0.00100000 -13.05177600
  1     336  -0.00004517   0.00163786   0.00200000  -7.02465351
  1     337   0.00000000   0.00000000   0.00000000 -13.05177600
  1     338   0.00009403   0.00334420   0.00300000  -5.25938709
  1     339  -0.00024824   0.00622007   0.00500000  -3.03217882
  1     340   0.00001727   0.00192327   0.00200000  -7.02465351
  1     341  -0.00000682   0.00050538   0.00200000  -7.02465351
  1     342  -0.00094495   0.00886005   0.01600000   2.06760079
  1     343  -0.00085323   0.00822313   0.01500000   1.78290223
  1     344  -0.00234013   0.01712497   0.02400000   3.86396619
  1     345  -0.00049849   0.00656378   0.00700000  -1.56216014
  1     346  -0.00005602   0.00159128   0.00200000  -7.02465351
  1     347   0.00019621   0.00339110   0.00400000  -4.00564152
  1     348  -0.00008133   0.00257064   0.00100000 -13.05177600
  1     349   0.00005791   0.00214060   0.00200000  -7.02465351
  1     350  -0.00017766   0.00307896   0.00600000  -2.23599939
  1     351   0.00006280   0.00504275   0.00200000  -7.02465351
  1     352   0.00043779   0.00601092   0.00700000  -1.56216014
  1     353   0.00032399   0.00519560   0.00400000  -4.00564152
  1     354  -0.00001182   0.00037355   0.00100000 -13.05177600
  1     355   0.00016379   0.00367519   0.00200000  -7.02465351
  1     356  -0.00068511   0.00708617   0.01000000   0.00000000
  1     357   0.00000000   0.00000000   0.00000000 -13.05177600
  1     358   0.00059044   0.00938320   0.00600000  -2.23599939
  1     359  -0.00020926   0.00438632   0.00300000  -5.25938709
  1     360   0.00001479   0.00046732   0.00100000 -13.05177600
  1     361   0.00003201   0.00184930   0.00200000  -7.02465351
  1     362   0.00004037   0.00127603   0.00100000 -13.05177600
  1     363  -0.00021659   0.00397345   0.00300000  -5.25938709
  1     364   0.00001972   0.00062335   0.00100000 -13.05177600
  1     365   0.00012985   0.00256908   0.00400000  -4.00564152
  1     366   0.00020763   0.00336027   0.00400000  -4.00564152
  1     367  -0.00322242   0.02273025   0.02900000   4.70813963
  1     368   0.00011996   0.00325883   0.00200000  -7.02465351
  1     369   0.00007233   0.00228616   0.00100000 -13.05177600
  1     370   0.01068086   0.03980143   0.08200000   9.46606366
  1     371   0.00006653   0.00350908   0.00300000  -5.25938709
  1     372   0.00015260   0.00329999   0.00400000  -4.00564152
  1     373   0.00000000   0.00000000   0.00000000 -13.05177600
  1     374  -0.00004685   0.00148081   0.00100000 -13.05177600
  1     375   0.00000000   0.00000000   0.00000000 -13.05177600
  1     376  -0.00021198   0.00507237   0.00300000  -5.25938709
  1     377   0.00003022   0.00357082   0.00400000  -4.00564152
  1     378   0.00097179   0.00902247   0.01300000   1.15261394
  1     379  -0.00010188   0.00305229   0.00400000  -4.00564152
  1     380   0.00002452   0.00089283   0.00200000  -7.02465351
  1     381   0.00029702   0.00314015   0.01200000   0.80059496
  1     382  -0.00006658   0.00141837   0.00300000  -5.25938709
  1     383   0.00011263   0.00342780   0.00500000  -3.03217882
  1     384   0.00029304   0.00638781   0.00500000  -3.03217882
  1     385   0.00050769   0.00849040   0.00500000  -3.03217882
  1     386  -0.00028036   0.00539588   0.00300000  -5.25938709
  1     387   0.00004436   0.00086222   0.00300000  -5.25938709
  1     388  -0.00160662   0.01002901   0.03100000   5.00673111
  1     389  -0.00055704   0.00679348   0.01200000   0.80059496
  1     390   0.00235373   0.01438039   0.03100000   5.00673111
  1     391  -0.00005652   0.00178641   0.00100000 -13.05177600
  1     392   0.00000000   0.00000000   0.00000000 -13.05177600
  1     393  -0.00014416   0.00408570   0.00300000  -5.25938709
  1     394   0.00001560   0.00049315   0.00100000 -13.05177600
  1     395   0.00001259   0.00039803   0.00100000 -13.05177600
  1     396   0.00000000   0.00000000   0.00000000 -13.05177600
  1     397   0.00098735   0.00928400   0.01300000   1.15261394
  1     398   0.00040239   0.00640628   0.00900000  -0.46195950
  1     399  -0.00002405   0.00084532   0.00200000  -7.02465351
  1     400   0.00028974   0.00422330   0.00600000  -2.23599939
  1     401   0.00005822   0.00184014   0.00100000 -13.05177600
  1     402  -0.00000281   0.00274032   0.00300000  -5.25938709
  1     403   0.00000000   0.00000000   0.00000000 -13.05177600
  1     404   0.00000000   0.00000000   0.00000000 -13.05177600
  1     405   0.00001884   0.00059560   0.00100000 -13.05177600
  1     406   0.00002744   0.00079333   0.00200000  -7.02465351
  1     407   0.00000000   0.00000000   0.00000000 -13.05177600
  1     408  -0.00031136   0.00734674   0.00400000  -4.00564152
  1     409   0.00014786   0.00481811   0.00300000  -5.25938709
  1     410   0.00008312   0.00204854   0.00200000  -7.02465351
  1     411  -0.00013219   0.00247006   0.00400000  -4.00564152
  1     412   0.00025076   0.00320866   0.00700000  -1.56216014
  1     413  -0.00040425   0.00439480   0.01000000   0.00000000
  1     414  -0.00047577   0.00567556   0.00800000  -0.97786491
  1     415  -0.00068876   0.01154963   0.00600000  -2.23599939
  1     416  -0.00001599   0.00050553   0.00100000 -13.05177600
  1     417  -0.00003544   0.00112028   0.00100000 -13.05177600
  1     418   0.00009788   0.00222592   0.00200000  -7.02465351
  1     419  -0.00056850   0.00752243   0.00900000  -0.46195950
  1     420   0.00006264   0.00380216   0.00300000  -5.25938709
  1     421  -0.00007115   0.00162804   0.00200000  -7.02465351
  1     422  -0.00000659   0.00020836   0.00100000 -13.05177600
  1     423  -0.00000240   0.00007593   0.00100000 -13.05177600
  1     424   0.00009350   0.00256727   0.00200000  -7.02465351
  1     425  -0.00003277   0.00103586   0.00100000 -13.05177600
  1     426  -0.00000281   0.00008878   0.00100000 -13.05177600
  1     427  -0.00017150   0.00325465   0.00400000  -4.00564152
  1     428  -0.00065458   0.00922789   0.00600000  -2.23599939
  1     429  -0.00000593   0.00027328   0.00200000  -7.02465351
  1     430  -0.00000040   0.00001256   0.00100000 -13.05177600
  1     431   0.00001573   0.00049728   0.00100000 -13.05177600
  1     432   0.00035234   0.00459519   0.00600000  -2.23599939
  1     433  -0.00000170   0.00004062   0.00200000  -7.02465351
  1     434  -0.00000590   0.00018656   0.00100000 -13.05177600
  1     435   0.00046663   0.00527453   0.01000000   0.00000000
  1     436  -0.00005989   0.00134142   0.00200000  -7.02465351
  1     437   0.00004244   0.00104561   0.00200000  -7.02465351
  1     438   0.00003944   0.00237880   0.00200000  -7.02465351
  1     439   0.00015849   0.00642304   0.00400000  -4.00564152
  1     440   0.01288881   0.04277442   0.09400000  10.11634851
  1     441   0.00032088   0.00646962   0.00300000  -5.25938709
  1     442   0.00004880   0.00110827   0.00200000  -7.02465351
  1     443   0.01032643   0.03863948   0.08100000   9.40804702
  1     444  -0.00009541   0.00216861   0.00300000  -5.25938709
  1     445   0.01014810   0.03734905   0.08000000   9.34937354
  1     446  -0.00021165   0.00334083   0.00400000  -4.00564152
  1     447   0.00000000   0.00000000   0.00000000 -13.05177600
  1     448   0.00001909   0.00166254   0.00200000  -7.02465351
  1     449  -0.00139509   0.01347003   0.01500000   1.78290223
  1     450  -0.00001283   0.00144388   0.00500000  -3.03217882
  1     451   0.00014572   0.00351482   0.00400000  -4.00564152
  1     452  -0.00000549   0.00017368   0.00100000 -13.05177600
  1     453   0.00008556   0.00278140   0.00500000  -3.03217882
  1     454  -0.00060293   0.00774892   0.01100000   0.41831588
  1     455   0.00002769   0.00087527   0.00100000 -13.05177600
  1     456  -0.00060793   0.00579950   0.01300000   1.15261394
  1     457  -0.00001132   0.00035781   0.00100000 -13.05177600
  1     458  -0.00013079   0.00487892   0.00200000  -7.02465351
  1     459  -0.00000709   0.00022411   0.00100000 -13.05177600
